"구별","2020년","2021년","2년치 합","2년치 평균"
금천구,108,108,216,108.0
동대문구,120,131,251,125.5
동작구,136,121,257,128.5
도봉구,136,125,261,130.5
양천구,137,138,275,137.5
구로구,142,147,289,144.5
성북구,147,153,300,150.0
노원구,152,154,306,153.0
성동구,155,163,318,159.0
강북구,165,130,295,147.5
은평구,169,145,314,157.0
광진구,169,187,356,178.0
중구,170,136,306,153.0
용산구,176,160,336,168.0
종로구,179,169,348,174.0
강서구,193,197,390,195.0
서대문구,194,236,430,215.0
관악구,195,224,419,209.5
영등포구,203,176,379,189.5
강동구,203,188,391,195.5
중랑구,204,191,395,197.5
서초구,205,215,420,210.0
마포구,213,212,425,212.5
송파구,292,237,529,264.5
강남구,360,356,716,358.0
